vczsmcode	VcZSMDesc	VcASMDesc	VcASMCode	VcTSICode	VcTSIDesc	VcWSSTTYCode	VcWSSTTYDesc	VcRSMCode	VcRSMDesc	VcBMCode	VcBMDesc
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05050	CN-6	TM50501	W-TAMBARAM-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZW00101	FV-ZSM-WEST-A ZONE	SOUTHMAHAGOA	CY00800	TY10180	SMG-06	TY10156		ZW00101	FV-ZSM-WEST-A ZONE	BPN0001	PUNE
ZW00101	FV-ZSM-WEST-A ZONE	PUNE	CY00900	TY12110	JPUNE	TY12110	JPUNE	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZS00103	FV-ZSM-SOUTH ZONE(B)	HYDERABAD	CM00200	TM54800	PAP-A	TM54800	PAP-A	RPMANP1	RPI - AP	RPMANP1	RPI - AP
ZS00103	FV-ZSM-SOUTH ZONE(B)	HYDERABAD	CM00200	TM05190	AP-A-03	TM51903	W-TALDUR-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BHY0001	HYDERABAD
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC08270	BH-10	TC11305	W-PATNA-5	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY03200	M1-1	TY03200	M1-1	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY07150	MK-2	TY71501	W-JALNA-1	ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05960	UP E-6	TD59604	W-LUCKNOW-3	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZN00101	FV-ZSM-NORTH ZONE	PUNJABSOUTH	CD00900	TD06140	PS-03	TD61402	W-FARIDKOT-3	ZN00101	FV-ZSM-NORTH ZONE	BPU0001	PUNJAB
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	CM00400	BANGALORE1	CM00400	BANGALORE1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZN00101	FV-ZSM-NORTH ZONE	HARYANANORTH	CD00500	TD05010	HN-01	TD50107	W-YAMUNA NAGAR-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03110	JAIPUR-7	TA31402	W-SRIGANGANAGAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07020	NE-02	TC07020	NE-02	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY06290	PMWA-1	TY06290	PMWA-1	RPMMUM1	RPI - MUMBAI	RPMMUM1	RPI - MUMBAI
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY02300	TH-3	TY11072	W-KALYAN-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY02300	TH-3	TY11072	W-KALYAN-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA33240	JABD-2	TA3324A	JABD-2-A	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06070	KER-7	TM60703	W-MAHE-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BKE0001	KERALA
ZS00102	FV-ZSM-SOUTH ZONE(A)	COIMBTAORE	CM00600	TM01110	TNN-6	TM11104	W-VELLORE-3	ZS00102	FV-ZSM-SOUTH ZONE(A)	BCO0001	COIMBATORE
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06350	JVD	TY06350	JVD	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	TM05550	BLR-1-06	TM55501	W-BANGALORE NORTH WEST-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0001	BANGALORE-1
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY07150	MK-2	TY71504	W-WALUJ-1	ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY07180	MK-5	TY71802		ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04050	ABD-5	TA40501	W-GANDHI NAGAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY11070	TH-5	TY11071	W-ULHASNAGAR-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIEAST	CY00200	TY06230	IN-MUM	TY06230	IN-MUM	RPMMUM1	RPI - MUMBAI	RPMMUM1	RPI - MUMBAI
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA02220	BRD 2	TA22201	W-ANKLESHWAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIA	CD00300	TD05550	DEL_A_2	TD55501	W-UTTAM NAGAR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIC	CD01200	TD05290	DEL_C-5	TD52901	W-SEELAMPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZS00102	FV-ZSM-SOUTH ZONE(A)	MADURAI	CM00800	TM05110	TNS-5	TM50803	W-SIVAKASI-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BCO0001	COIMBATORE
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIA	CD00300	TD05560	DEL_A_3	TD55601	W-PUNJABI BAGH-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZS00103	FV-ZSM-SOUTH ZONE(B)	HYDERABAD	CM00200	TM05130	AP-A-01	TM51301	W-HYDERABAD-GHOSHAMAHAL-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BHY0001	HYDERABAD
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05270	DEL-B-4	TD52702	W-BHOGAL-2	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZN00101	FV-ZSM-NORTH ZONE	PUNJABSOUTH	CD00900	TD60700	PTPS-02	TD5675P	PW-RAJPURA-1	ZN00101	FV-ZSM-NORTH ZONE	BPU0001	PUNJAB
ZN00102	FV-ZSM-NORTH-A ZONE	CENTRALUP	CD00800	TD05840	C UP-5	TD58403	W-KANPUR-5	ZN00102	FV-ZSM-NORTH-A ZONE	BCU0001	CENTRAL U.P
ZN00102	FV-ZSM-NORTH-A ZONE	WESTERNUP	CD00200	TD05440	WUP-4	TD54401	W-MEERUT-1	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05240	DEL-B-1	TD52401	W-KOTLA-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZN00101	FV-ZSM-NORTH ZONE	HARYANASOUTH	CD01000	TD05040	HS-02	TD61205	W-GURGAON-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05910	UP E-1	TD59102	W-GORAKHPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05950	UP E-5	TD59506	W-SITAPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05240	DEL-B-1	TD52401	W-KOTLA-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08080	OR-05	TC80803	W-BHADRAK-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00103	FV-ZSM-SOUTH ZONE(B)	COASTAL AP	CM00500	TM05170	AP-B-03	TM51701	W-KAKINADA-1	ZS00103	FV-ZSM-SOUTH ZONE(B)	BVI0001	VIJAYWADA
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08080	OR-05	TC80805	W-KEONJHAR-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM05580	JKER	TM05580	JKER	RPMCHN1	RPI - SOUTH - A-CHENNAI	RPMCHN1	RPI - SOUTH - A-CHENNAI
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04030	ABD-3	TA40301	W-NADIAD DIST.-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY12100	JMUM-1	TY12100	JMUM-1	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIA	CD00300	TD05550	DEL_A_2	TD55501	W-UTTAM NAGAR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY02190	MWA-3	TY02190	MWA-3	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM01120	CN-10	TM11201	W-NEYVELI-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZS00103	FV-ZSM-SOUTH ZONE(B)	HYDERABAD	CM00200	TM56900	JAP-2	TM56900	JAP-2	RPMANP1	RPI - AP	RPMANP1	RPI - AP
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07000	CH-01	TD50105	W-PANCHKULA-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07040	NE-04	TC07040	NE-04	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	CENTRALUP	CD00800	TD05880	C UP-9	TD58801	W-AGRA-3	ZN00102	FV-ZSM-NORTH-A ZONE	BCU0001	CENTRAL U.P
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05910	UP E-1	TD59102	W-GORAKHPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA33240	JABD-2	TA33240	JABD-2	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06100	KER-10	TM61001	W-MALAPURAM-1	RPMCHN1	RPI - SOUTH - A-CHENNAI	BKE0001	KERALA
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06060	KER-6	TM60601	W-CHALAKUDY-1	RPMCHN1	RPI - SOUTH - A-CHENNAI	BKE0001	KERALA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06060	BH-06	TC60604	W-SIWAN-1	RPMCAL1	RPI - CALCUTTA	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA02270	BRD 6	TA22702	W-BARODA-4	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04040	ABD-4	TA40401	W-LATI BAZAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05240	DEL-B-1	TD52401	W-KOTLA-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04200	SRT-2C	TA42001	W-SURAT-3A	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC08200	BH-09	TC82004	W-SUPAUL-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04160	SRT-1	TA4175A	W-SURAT-1 (A)	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05270	DEL-B-4	TD52702	W-BHOGAL-2	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	NORTHBENGAL	CC00500	TC02080	NCAL-5	TC20306	W-MOGRA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	CENTRALUP	CD00800	TD05850	C UP-6	TD58505	W-KOSIKALAN-1	ZN00102	FV-ZSM-NORTH-A ZONE	BCU0001	CENTRAL U.P
ZW00101	FV-ZSM-WEST-A ZONE	SOUTHMAHAGOA	CY00800	TY10140	SMG-02	TY10140	SMG-02	ZW00101	FV-ZSM-WEST-A ZONE	BPN0001	PUNE
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM55300	JCHE	TM55300	JCHE	RPMCHN1	RPI - SOUTH - A-CHENNAI	RPMCHN1	RPI - SOUTH - A-CHENNAI
ZN00102	FV-ZSM-NORTH-A ZONE	CENTRALUP	CD00800	TD05850	C UP-6	TD58501	W-KASGANJ-1	ZN00102	FV-ZSM-NORTH-A ZONE	BCU0001	CENTRAL U.P
ZN00101	FV-ZSM-NORTH ZONE	PUNJABSOUTH	CD00900	TD05720	PS-06	TD57202	W-BARNALA-1	ZN00101	FV-ZSM-NORTH ZONE	BPU0001	PUNJAB
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04010	ABD-1	TA40103	W-LOKHAND-BAZAR-2	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08030	OR-03	TC80304	W-JHARSUGUDA-1	RPMCAL1	RPI - CALCUTTA	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD06210	DEL-B-5	TD52703	W-BHOGAL-3	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04050	ABD-5	TA40501	W-GANDHI NAGAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04030	ABD-3	TA40301	W-NADIAD DIST.-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC02040	SCAL-7	TC20403	W-MADHYAMGRAM-1	RPMCAL1	RPI - CALCUTTA	BCC0001	CALCUTTA
ZW00101	FV-ZSM-WEST-A ZONE	NASIK	CY00600	TY07160	MK-3	TY71603	W-NANDED-1	ZW00101	FV-ZSM-WEST-A ZONE	BNA0001	NASHIK
ZS00103	FV-ZSM-SOUTH ZONE(B)	HYDERABAD	CM00200	TM05220	AP-A-06	TM52203	W-HYDERABAD-DILSUKHNAGAR-3	ZS00103	FV-ZSM-SOUTH ZONE(B)	BHY0001	HYDERABAD
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06100	KER-10	TM61001	W-MALAPURAM-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BKE0001	KERALA
ZN00101	FV-ZSM-NORTH ZONE	PUNJABNORTH	CD00100	TD05230	PN-01	TD52301	W-BHOGPUR-1	ZN00101	FV-ZSM-NORTH ZONE	BPU0001	PUNJAB
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04070	ABD-7	TA40701	W-AH BAD DIST-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA33240	JABD-2	TA33240	JABD-2	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04180	SRT-2A	TA41703	W-SILVASA-1	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04030	ABD-3	TA40301	W-NADIAD DIST.-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZE00101	FV-ZSM-EAST ZONE	NORTHBENGAL	CC00500	TC02020	NCAL-2	TC20201	W-CALCUTTA-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04210	SRT-2D	TA42101	W-SURAT-5	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04070	ABD-7	TA40701	W-AH BAD DIST-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06060	BH-06	TC60604	W-SIWAN-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04010	ABD-1	TA40103	W-LOKHAND-BAZAR-2	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZC00105	FV-ZSM-CENTRAL ZONE	CHATTISGARH	CY00700	TY12050	CM-06	TY12053	W-SATNA-1	ZC00105	FV-ZSM-CENTRAL ZONE	BMP0001	MP + CHTSG
ZC00105	FV-ZSM-CENTRAL ZONE	CHATTISGARH	CY00700	TY12020	CM-03	TY12022	W-RAJNANDGAON-1	ZC00105	FV-ZSM-CENTRAL ZONE	BMP0001	MP + CHTSG
ZN00101	FV-ZSM-NORTH ZONE	HARYANANORTH	CD00500	TD05020	HN-02	TD50204	W-KURUKSHETRA-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZN00101	FV-ZSM-NORTH ZONE	J&K	CD00700	TD05090	JK-02	TD50903	W-KATHUA-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05270	DEL-B-4	TD52702	W-BHOGAL-2	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03120	JJPR	TA03120	JJPR	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM55100	JKTK	TM55100	JKTK	RPMKTK1	RPI - KARNATAKA	RPMKTK1	RPI - KARNATAKA
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA04160	SRT-1	TA41707	W-SURAT-3	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM55100	JKTK	TM55100	JKTK	RPMKTK1	RPI - KARNATAKA	RPMKTK1	RPI - KARNATAKA
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04050	ABD-5	TA40501	W-GANDHI NAGAR-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07020	CH-03	TD61501	WCHANDIGARH-2	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZE00101	FV-ZSM-EAST ZONE	NORTHBENGAL	CC00500	TC02020	NCAL-2	TC20201	W-CALCUTTA-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC01060	SCAL-10	TC20203	W-CENTRAL NORTH KOLKATA-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05300	DEL-B-6	TD53001	W-PAHARGANJ-2	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC01070	SCAL-3	TC10714	W-MECHTDA-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	NORTHBENGAL	CC00500	TC02080	NCAL-5	TC20805	W-HOWRAH / HOOGLY-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05010	CN-1	TM50101	W-DM STREET / BROADWAY.-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC08260	IN-CAL	TC08260	IN-CAL	RPMCAL1	RPI - CALCUTTA	RPMCAL1	RPI - CALCUTTA
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIWEST	CY00300	TY12280	JMUM-3	TY12280	JMUM-3	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	TA04030	ABD-3	TA40301	W-NADIAD DIST.-1	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05240	DEL-B-1	TD52401	W-KOTLA-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZE00101	FV-ZSM-EAST ZONE	NORTHEAST	CC00400	TC07100	NE-09	TC70308	W-KHRUPETIA-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD05960	UP E-6	TD59604	W-LUCKNOW-3	ZN00102	FV-ZSM-NORTH-A ZONE	BEU0001	EASTERN U.P
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08080	OR-05	TC80804	W-BHADRAK/BALASORE-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZC00105	FV-ZSM-CENTRAL ZONE	CHATTISGARH	CY00700	TY12010	CM-01	TY12015	W-RAIPUR-5	ZC00105	FV-ZSM-CENTRAL ZONE	BMP0001	MP + CHTSG
ZW00102	FV-ZSM-WEST-B ZONE	SURAT	CA00400	TA33240	JABD-2	TA33240	JABD-2	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZC00105	FV-ZSM-CENTRAL ZONE	MADHYAPRADESH	CY00400	TY06330	JMP	TY06330	JMP	RPMDEL1	RPM - DELHI	RPIMPC1	RPI - MP+CHTSG
ZS00102	FV-ZSM-SOUTH ZONE(A)	COIMBTAORE	CM00600	TM05520	TNN-1	TM55207	W-COIMBTORE-8	ZS00102	FV-ZSM-SOUTH ZONE(A)	BCO0001	COIMBATORE
ZC00105	FV-ZSM-CENTRAL ZONE	MADHYAPRADESH	CY00400	TY07040	MP-4	TY70401	W-BHOPAL-1	ZC00105	FV-ZSM-CENTRAL ZONE	BMP0001	MP + CHTSG
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA02240	BRD 4	TA22403	W-BHAVNAGAR-3	ZW00102	FV-ZSM-WEST-B ZONE	BAB0001	AHMEDABAD-BARODA
ZE00101	FV-ZSM-EAST ZONE	BIHAR	CC00300	TC06030	BH-03	TC60303	W-MUZAFFARPUR-1	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZE00101	FV-ZSM-EAST ZONE	ORISSA	CC00200	TC08010	OR-01	TC80105	W-PURI-2	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZW00102	FV-ZSM-WEST-B ZONE	BARODA	CA00600	TA33240	JABD-2	TA3324A	JABD-2-A	RPMAHM1	RPI - AHMEDABAD	RPMAHM1	RPI - AHMEDABAD
ZN00102	FV-ZSM-NORTH-A ZONE	WESTERNUP	CD00200	TD05440	WUP-4	TD54504	W-MEERUT-3	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZE00101	FV-ZSM-EAST ZONE	SOUTHBENGAL	CC00100	TC02040	SCAL-7	TC02040	SCAL-7	ZE00101	FV-ZSM-EAST ZONE	BCC0001	CALCUTTA
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06030	KER-3	TM60302	W-NEDUMANGAD-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BKE0001	KERALA
ZN00101	FV-ZSM-NORTH ZONE	HARYANANORTH	CD00500	TD05770	HN-04	TD50703	W-SONEPAT-1	ZN00101	FV-ZSM-NORTH ZONE	BHA0001	HARYANA
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05760	CN-09	TM50403	W-THIRUVANMIYUR-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE2	CM00900	TM05370	BLR-2-03	TM53706	W-TUMKUR-2	ZS00103	FV-ZSM-SOUTH ZONE(B)	BBA0002	BANGALORE-2
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05030	CN-4	TM50301	W-MADRAS-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZN00102	FV-ZSM-NORTH-A ZONE	WESTERNUP	CD00200	TD05450	WUP-5	TD54502	W-HAPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZC00105	FV-ZSM-CENTRAL ZONE	MADHYAPRADESH	CY00400	TY06330	JMP	TY06330	JMP	RPMDEL1	RPM - DELHI	RPIMPC1	RPI - MP+CHTSG
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	TM05410	BLR-1-05	TM54101	W-BANGALORE-1	RPMKTK1	RPI - KARNATAKA	BBA0001	BANGALORE-1
